순위,곡명,아티스트,앨범명,장르,재생시간,작사가,작곡가,편곡자,좋아요,전체 청취자수,전체 재생수,상세URL,곡ID
1,Golden,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:15,"EJAE,Mark Sonnenblick","IDO,24,TEDDY,EJAE,Mark Sonnenblick","IDO,24,TEDDY,Ian Eisendrath",36801,1017294,17274454,https://www.genie.co.kr/detail/songInfo?xgnm=110589415,110589415
2,Soda Pop,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,02:31,"Vince,KUSH,Danny Chung","24,DOMINSUK,Vince,KUSH","24,DOMINSUK,Ian Eisendrath",23828,827015,11127862,https://www.genie.co.kr/detail/songInfo?xgnm=110589414,110589414
3,뛰어(JUMP),BLACKPINK,뛰어(JUMP),가요 / 댄스,02:45,"TEDDY,Zikai,Claudia Valentina,Jumpa,Malachiii,Jesse Bluu","TEDDY,Diplo,24,Zikai,Claudia Valentina,Jumpa,Malachiii,Jesse Bluu","Diplo,24,Boaz van de Beatz,Zecca,Ape Drums",12282,746990,8936461,https://www.genie.co.kr/detail/songInfo?xgnm=110931419,110931419
4,FAMOUS,ALLDAY PROJECT,FAMOUS,가요 / 댄스,03:00,"TARZZAN,WOOCHAN,YOUNGSEO,TEDDY,Vince,Claudia Valentina,Zikai,Norib","Jumpa,Claudia Valentina,Zikai,Norib,Dominsuk,Vince","Jumpa,24,Dominsuk,Vince",14122,738206,10319116,https://www.genie.co.kr/detail/songInfo?xgnm=110552022,110552022
5,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:12,"EJAE,Mark Sonnenblick","24,IDO,KUSH,Vince","24,IDO,Ian Eisendrath",14783,620834,6588227,https://www.genie.co.kr/detail/songInfo?xgnm=110589418,110589418
6,Drowning,WOODZ,OO-LI,가요 / 락,04:05,WOODZ,"WOODZ,네이슨 (NATHAN),Hoho","네이슨 (NATHAN),Hoho",45609,1374664,39743957,https://www.genie.co.kr/detail/songInfo?xgnm=101514417,101514417
7,How It's Done,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,02:56,"EJAE,Mark Sonnenblick,Danny Chung","24,IDO,TEDDY,EJAE,Mark Sonnenblick","24,IDO,TEDDY,Ian Eisendrath",12301,556696,5056018,https://www.genie.co.kr/detail/songInfo?xgnm=110589413,110589413
8,시작의 아이,마크툽 (Maktub),시작의 아이 ハジマリのコ (Starting With You),가요 / 인디,04:17,MAKTUB,MAKTUB,MAKTUB,16688,931823,16320584,https://www.genie.co.kr/detail/songInfo?xgnm=108746466,108746466
9,너에게 닿기를,10CM,너에게 닿기를,가요 / 락,02:39,Tomofumi Tanizawa,Tomofumi Tanizawa,"10CM,이요한,성수용,이윤혁,방인재",23482,1037858,17955813,https://www.genie.co.kr/detail/songInfo?xgnm=109330096,109330096
10,모르시나요 (Prod. by 로코베리),조째즈,모르시나요,가요 / 발라드,05:02,"베리 (Rocoberry),K-Smith",베리 (Rocoberry),이유진,25515,1139101,24786241,https://www.genie.co.kr/detail/songInfo?xgnm=108805752,108805752
11,Takedown,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:02,,,,8979,462046,3486171,https://www.genie.co.kr/detail/songInfo?xgnm=110589417,110589417
12,Whiplash,aespa,Whiplash - The 5th Mini Album,가요 / 댄스,03:03,Leslie (XYXX),"Marcus Lomax,Neil Ormandy,Rosina 'Soaky Siren' Russell,Lewis Jankel","Lewis Jankel,Neil Ormandy",27764,1355381,40072636,https://www.genie.co.kr/detail/songInfo?xgnm=108110514,108110514
13,청춘만화,이무진,만화 (滿花),가요 / 락,04:35,이무진,"Factist,Jossh,W.Darmody,이무진","Factist,Jossh",20239,1094337,20430558,https://www.genie.co.kr/detail/songInfo?xgnm=107985564,107985564
14,like JENNIE,제니 (JENNIE),Ruby,가요 / 댄스,02:04,"제니 (JENNIE),Tayla Parx,Amanda 'Kiddo A.I.' Ibanez,지코 (ZICO),Diplo,Jorge Antonio Alfonzo Sr.","제니 (JENNIE),Tayla Parx,Amanda 'Kiddo A.I.' Ibanez,지코 (ZICO),Diplo,Jorge Antonio Alfonzo Sr.","Diplo,Leclair,jorge",16247,1014595,19543955,https://www.genie.co.kr/detail/songInfo?xgnm=109342665,109342665
15,Dirty Work,aespa,Dirty Work,가요 / 댄스,03:00,정물화 (JamFactory),"Evan Blair,UPSAHL,Elijah Noll,IMLAY","Evan Blair,IMLAY",8131,639853,7082300,https://www.genie.co.kr/detail/songInfo?xgnm=110452518,110452518
16,What It Sounds Like,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,04:10,,,,9981,412734,3075058,https://www.genie.co.kr/detail/songInfo?xgnm=110589420,110589420
